,Character,Text,total_number,Label
7318,Katara,sokka ,32,positive
7319,Aang,  ill distract it  katara  get everyone across   ,32,positive
7321,Sokka,toph  come on  its just ice ,32,positive
7322,Toph,  actually  im going to stay on my little island  where i can see    okay  im coming   ,32,positive
7323,Sokka,youre doing great  just follow the sound of my voice ,32,positive
7324,Toph,its hard to ignore ,32,positive
7325,Sokka,youre almost there ,32,positive
7327,Toph,help  i cant swim ,32,positive
7328,Sokka,im coming  toph ,32,positive
7330,Toph,help ,32,positive
7332,Toph,  oh sokka  you saved me   ,32,positive
7334,Toph,oh     well       you can go ahead and let me drown now ,32,positive
7336,Sokka,theres the wall  now its nothing but smooth sailing to ba sing se ,32,positive
7338,Sokka,whats wrong ,32,positive
7340,Sokka,  what  now  cant you hold it in or something ,32,positive
7341,Katara,sokka  calm down  i helped gran gran deliver lots of babies back home ,32,positive
7342,Sokka,this isnt the same as delivering an arctic seal  this is a real     human     thing ,32,positive
7343,Katara,its called a baby and i helped her deliver plenty of those  too  aang  get some rags  sokka  water  toph  i need you to make an earth tent  a big one    suki  come with me ,32,positive
7346,Zuko,ive realized lately that being on your own isnt always the best path ,32,positive
7348,Katara,youre doing great  ying  sokka  wheres that water  now get ready to push  one     two           three  push ,32,positive
7350,Katara,  its a girl ,32,positive
7351,Toph,so  you want to go see the baby  or are you going to faint like an old lady again ,32,positive
7352,Sokka,no  no  im good this time   ,32,positive
7353,Katara,aang  you have to come see this ,32,positive
7355,Toph,she sounds healthy ,32,positive
7356,Katara,shes beautiful ,32,positive
7357,Sokka,its so     squishy looking ,32,positive
7361,Aang,  ive been going through a really hard time lately  but youve made me     hopeful again ,32,positive
7365,Aang,i thought i was trying to be strong  but really i was just running away from my feelings  seeing this family together  so full of happiness and love  its reminded me how i feel about appa     and how i feel about you ,32,positive
7367,Aang,i promise  ill find appa as fast as i can  i just really need to do this ,32,positive
7368,Sokka,see you in the big city ,32,positive
7369,Toph,say hi to that big fuzzball for me   ,32,positive
7370,Katara,youll find him  aang ,32,positive
7371,Aang,i know  thank you  katara  you ready  momo   ,32,positive
7374,Sokka,whoa  hold on  why does it sound like youre saying goodbye ,32,positive
7376,Sokka,so you came along to protect me ,32,positive
7378,Sokka,  you talk too much ,32,positive
7380,Aang,sorry momo  appas going to have to wait ,32,positive
7387,Azula,oh  im sure it is  war minister qin  but just to be on the safe side       mai and ty lee  take the earthbenders out ,33,positive
7390,Katara,  aang  what are you doing here  i thought you were looking for appa ,33,positive
7391,Aang,i was  but something stopped me  something big ,33,positive
7393,Sokka,now whats so big that appa has to wait ,33,positive
7394,Aang,  that ,33,positive
7398,Aang,im the avatar  take me to whoever is in charge ,33,positive
7401,Aang,not needed ,33,positive
7403,Toph,what about the dragon of the west  he got in ,33,positive
7405,Toph,yeah  thanks for the tour  but we still got the drill problem ,33,positive
7407,Sokka,thats a good group name  very catchy ,33,positive
7412,Sokka,  get a hold of yourself  man ,33,positive
7414,Toph,maybe youd like the avatars help now ,33,positive
7417,Aang,the question is  how are we going to stop that thing   ,33,positive
7418,Sokka,why are you all looking at me ,33,positive
7419,Aang,youre the idea guy ,33,positive
7420,Sokka,  so im the only one who can ever come up with a plan  thats a lot of pressure ,33,positive
7421,Katara,and also the complaining guy ,33,positive
7422,Sokka,that part i dont mind ,33,positive
7425,Iroh,its pronounced mushi ,33,positive
7427,Iroh,  uh  no  no  but may i just say youre like a flower in bloom  your beauty is intoxicating ,33,positive
7429,Zuko,  im going to forget i saw that   ,33,positive
7440,Katara,his chi is blocked    who did this to you ,33,positive
7442,Katara,  ty lee  she doesnt look dangerous  but she knows the human body and its weak points  its like she takes you down from the inside ,33,positive
7443,Sokka,  ooh  ooh  ooh  ooh  ooh ,33,positive
7444,Katara,yes ,33,positive
7445,Sokka,what you just said  thats how were going to take down the drill  the same way ty lee took down all those big earthbenders ,33,positive
7446,Toph,by hitting its pressure points ,33,positive
7447,Aang,  well take it down from the inside ,33,positive
7449,Toph,  once i whip up some cover  youre not going to be able to see  so  stay close to me ,33,positive
7451,Toph,run ,33,positive
7456,Toph,everyone into the hole ,33,positive
7458,Sokka,its so dark down here  i cant see a thing ,33,positive
7459,Toph,  oh no  what a nightmare ,33,positive
7460,Sokka,  sorry ,33,positive
7462,Sokka,there ,33,positive
7464,Sokka,toph  come on ,33,positive
7465,Toph,no way am i going in that metal monster  i cant bend in there  ill try to slow it down out here ,33,positive
7466,Sokka,okay  good luck   ,33,positive
7468,Sokka,i need a plan of this machine  some schematics that show what the inside looks like  then we can find its weak points ,33,positive
7469,Aang,where are we going to get something like that    what are you doing  someones going to hear us ,33,positive
7470,Sokka,thats the point  i figure a machine this big needs engineers to run it  and when something breaks    ,33,positive
7471,Katara,they come to fix it ,33,positive
7473,Katara,  hi ,33,positive
7475,Sokka,thisll work  thanks ,33,positive
7477,Sokka,it looks like the drill is made up of two main structures  theres the inner mechanism where we are now and the outer shell  the inner part and the outer part are connected by these braces  if we cut through them  the entire thing will collapse ,33,positive
7481,Iroh,  ooh  jasmine please ,33,positive
7483,Iroh,blaugh  ugh  coldest tea in ba sing se is more like it  what a disgrace ,33,positive
7487,Zuko,thanks  but i dont think you want me in your gang ,33,positive
7489,Zuko,  i said no ,33,positive
7492,Iroh,hey ,33,positive
7493,Zuko,  what are you doing firebending your tea  for a wise  old man  that was a pretty stupid move ,33,positive
7494,Iroh,  i know youre not supposed to cry over spilled tea  but       its just so sad ,33,positive
7496,Sokka,wow  it looks a lot thicker in person than it does in the plans  were going to have to work pretty hard to cut through that ,33,positive
7497,Katara,  whats this  we  stuff  aang and i are going to have to do all the work ,33,positive
7498,Sokka,  look  im the plan guy  you two   are the cut stuff up with waterbending guys    together  were team avatar ,33,positive
7500,Sokka,  cmon team  dont quit now    were    ,33,positive
7501,Katara,  grrr ,33,positive
7503,Sokka,i mean    youre almost there ,33,positive
7505,Katara,  at this rate  we wont do enough damage before the drill reaches the wall ,33,positive
7506,Aang,i dont know how many more of those i have in me ,33,positive
7508,Sokka,do you hear that  we took it down  we better get out of here fast ,33,positive
7512,Sokka,  cmon brace     budge   ,33,positive
7513,Katara,this is bad  really bad ,33,positive
7514,Sokka,were putting everything weve got into busting these braces  but its taking too long ,33,positive
7515,Aang,  maybe we dont need to cut all the way through  toph has been teaching me that you shouldnt give one hundred percent of your energy into any one strike    sokka  take a fighting stance  youve got to be quick and accurate  hit a series of points and break your opponents stance    and when hes reeling back  you deliver the final blow    his own weight becomes his downfall  literally ,33,positive
7517,Katara,so we just need to weaken the braces  instead of cutting all the way through ,33,positive
7518,Aang,then ill go to the top of this thing and deliver the final blow ,33,positive
7519,Sokka,  and boom  it all comes crashing down ,33,positive
7520,Aang,everyone inside that wall  the whole world is counting on us ,33,positive
7521,Sokka,the whole world minus the fire nation that is ,33,positive
7523,Toph,  cmon  twinkle toes  hurry up ,33,positive
7525,Aang,thats enough  we need to get to the next one ,33,positive
7530,Azula,  lets go  ladies ,33,positive
7532,Sokka,good work  team avatar  now aang just needs to       duck ,33,positive
7534,Aang,  whoa ,33,positive
7536,Sokka,  hey ,33,positive
7538,Aang,guys  get out of here  i know what i need to do ,33,positive
7539,Katara,wait    you need this water more than i do ,33,positive
7541,Azula,follow them  the avatars mine ,33,positive
7543,Katara,  slurry pipeline  what does that mean ,33,positive
7544,Sokka,  its rock and water mixed together  it means our way out ,33,positive
7550,Katara,  why dont you try blocking my chi now  circus freak ,33,positive
7551,Sokka,katara  keep that up  the pressure will build up in the drill  then when aang delivers the final blow  itll be ready to pop ,33,positive
7553,Aang,  this looks like a good spot  momo    general sung  tell your soldiers to stop shooting rocks down here ,33,positive
7556,Sokka,good technique  little sister  keep it up  dont forget to breathe ,33,positive
7557,Katara,  you know  im just about sick and tired of you telling me what to do all day  youre like a chattering hog monkey ,33,positive
7558,Sokka,  just bend the slurry  woman ,33,positive
7560,Toph,  you guys need some help ,33,positive
7561,Katara,toph  help me plug up this drain ,33,positive
7563,Aang,  what id give to be a metalbender ,33,positive
7565,Aang,  momo  get out of here ,33,positive
7567,Aang,thanks  momo  i owe you one    now all i need       actually  that is what i need for once ,33,positive
7569,Sokka,woohoo ,33,positive
7570,Toph,here it comes ,33,positive
7579,Iroh,what a handsome baby   ,33,positive
7582,Sokka,i just want to say  good effort out there today  team avatar ,33,positive
7583,Katara,  enough with the team avatar stuff  no matter how many times you say it  its not going to catch on ,33,positive
7584,Sokka,how about       the boomeraang squad  see its good because its got  aang  in it  boomeraang ,33,positive
7585,Aang,  i kind of like that one ,33,positive
7586,Katara,  lets talk about this on our way into the city ,33,positive
7587,Sokka,the aang gang ,33,positive
7588,Katara,sokka    ,33,positive
7589,Sokka,the fearsome foursome ,33,positive
7590,Toph,  youre crazy ,33,positive
7591,Sokka,why  were fearsome ,33,positive
7595,Katara,  look  the inner wall    i cant believe we finally made it to ba sing se in one piece ,34,positive
7596,Sokka,  hey  dont jinx it  we can still be attacked by some giant exploding fire nation spoon  or find out the citys been submerged in an ocean full of killer shrimp ,34,positive
7597,Toph,  you been hitting the cactus juice again ,34,positive
7598,Sokka,im just sayin  weird stuff happens to us ,34,positive
7600,Katara,  dont worry aang  well find appa ,34,positive
7601,Aang,  its such a big city ,34,positive
7602,Sokka,  hes a giant bison  where could someone possibly hide him ,34,positive
7604,Sokka,  oh ,34,positive
7606,Toph,  back in the city  great ,34,positive
7607,Sokka,  whats the problem  its amazing ,34,positive
7608,Toph,  its just a bunch of walls and rules  you wait  youll get sick of it in a couple of days ,34,positive
7610,Aang,im comin for ya  buddy    hes here  i can feel it ,34,positive
7613,Sokka,yes  we have information about the fire nation army that we need to deliver to the earth king  immediately ,34,positive
7615,Sokka,  ugh    maybe you missed what i said  we need to talk to the king about the war  its important ,34,positive
7619,Katara,whats that wall for ,34,positive
7623,Katara,  why do they have all these poor people blocked off in one part of the city ,34,positive
7624,Aang,  this is why i never came here before  i always heard it was so different from the way the monks taught us to live   ,34,positive
7626,Iroh,i just want our place to look nice  in case someone brings home a lady friend   ,34,positive
7627,Zuko,  this city is a prison  i dont want to make a life here ,34,positive
7629,Iroh,life happens wherever you are  whether you make it or not  now come on  i found us some new jobs  and we start this afternoon ,34,positive
7638,Sokka,yeah  we met a professor from the ba sing se university  he took us to an ancient underground library where we discovered information about the war that is   absolutely crucial for the earth king to hear ,34,positive
7641,Sokka,is that woman deaf  she only seems to hear every other word i say ,34,positive
7642,Toph,its called  being handled   get used to it   ,34,positive
7646,Zuko,  ridiculous ,34,positive
7647,Iroh,uh  does this possibly come in a larger size   ,34,positive
7651,Iroh,  blech    this tea is nothing more than hot leaf juice ,34,positive
7652,Zuko,  uncle  thats what all tea is ,34,positive
7653,Iroh,  how could a member of my own family say something so horrible   well have to make some major changes around here ,34,positive
7657,Katara,  whats inside that wall ,34,positive
7659,Sokka,and whore the mean looking guys in robes ,34,positive
7661,Aang,  can we see the king now ,34,positive
7667,Sokka,  a month ,34,positive
7671,Sokka,  i think we would enjoy it more if we werent staying for so long  cant we see the earth king any sooner ,34,positive
7673,Aang,  if were going to be here for a month  we should spend our time looking for appa   ,34,positive
7675,Toph,  we dont need a babysitter ,34,positive
7680,Aang,  if someone wanted to sell a stolen animal without anyone knowing  where would they go  ,34,positive
7681,Sokka,  wheres the black market  who runs it    come on  you know ,34,positive
7685,Sokka,  right  and which of your professors could we ask about the war with the fire nation ,34,positive
7692,Sokka,  hey  come with me ,34,positive
7695,Aang,  nice to meet you  pong ,34,positive
7696,Sokka,so  pong  whats goin on with this city  why is everyone here so scared here to talk about the war ,34,positive
7698,Toph,  i can feel you shaking ,34,positive
7700,Katara,  get in trouble with who  ,34,positive
7703,Iroh,would you like a pot of tea ,34,positive
7704,Zuko,  weve been working in a tea shop all day    im sick of tea ,34,positive
7705,Iroh,   sick of tea   thats like being sick of breathing    have you seen the spark rocks to heat up the water ,34,positive
7707,Iroh,  i borrowed our neighbors  such kind people ,34,positive
7709,Katara,i got it  i know how were going to see the earth king ,34,positive
7710,Toph,  how are we supposed to do that     one doesnt just pop in on the earth king  ,34,positive
7711,Katara,  the king is having a party at the palace tonight for his pet bear ,34,positive
7712,Aang,you mean  platypus bear ,34,positive
7713,Katara,no  it just says bear ,34,positive
7714,Sokka,  certainly you mean his pet skunk bear ,34,positive
7715,Toph,  or his armadillo bear ,34,positive
7716,Aang,  gopher bear ,34,positive
7717,Katara,  just     bear ,34,positive
7718,Toph,this place     is weird ,34,positive
7719,Katara,  the palace will be packed  we can sneak in with the crowd ,34,positive
7720,Toph,  wont work ,34,positive
7721,Katara,  why not ,34,positive
7722,Toph,  well  no offense to you simple country folk  but a real society crowd will spot you a mile away  youve got no manners   ,34,positive
7723,Katara,  excuse me  ive got no manners   youre not exactly  lady fancy fingers  ,34,positive
7724,Toph,  i learned proper society behavior and chose to leave it    you never learned anything  and frankly  its a little too late   ,34,positive
7725,Sokka,  aha  but you learned it  you could teach us ,34,positive
7726,Aang,yeah  im mastering every element  how hard could manners be  ,34,positive
7728,Aang,good evening  mr  sokka water tribe  ms  katara water tribe  lord momo of the momo dynasty  your momo ness   ,34,positive
7729,Sokka,  avatar aang  how do you do  go on ,34,positive
7731,Toph,katara might be able to pull it off  but you two would be lucky to pass as busboys ,34,positive
7733,Sokka,but i feel so fancy   ,34,positive
7735,Aang,  earth ,34,positive
7736,Sokka,  fire ,34,positive
7738,Aang,  wow  you look beautiful ,34,positive
7740,Toph,dont talk to the commoners  katara  first rule of society ,34,positive
7742,Katara,  well get in the party  and then find a way to let you in through the side gate ,34,positive
7755,Iroh,  the secret ingredient is love   ,34,positive
7766,Zuko,you want a show  ill give you a show ,34,positive
7769,Toph,  i think this will do ,34,positive
7772,Toph,  look  the pangs and the yum soon hans are waiting in there for us  im going to have to tell them who didnt let me in ,34,positive
7775,Katara,  sir  im sorry to bother you  but my cousin lost our invitations    shes blind    do you think you could help us  our familys inside and im sure theyre very worried ,34,positive
7782,Katara,  im kwa mai  and this is     dum    ow ,34,positive
7784,Katara,  uh     i dont see them right now  but im sure well find them soon    thanks for all your help ,34,positive
7788,Aang,  where are they ,34,positive
7790,Sokka,look  i came up with a back up plan    we dress momo like a ghost  okay    he flies by the guards  creating a distraction  then  we blast a hole in the wall ,34,positive
7792,Aang,or we could go in as these guys  toph said we might pass as busboys ,34,positive
7794,Sokka,okay       but remember that momo ghost plan  i think its a winner   ,34,positive
7798,Iroh,please  son  youre confused  you dont know what youre doing ,34,positive
7802,Zuko,youre the one who needs help ,34,positive
7806,Aang,  where are toph and katara ,34,positive
7807,Sokka,forget about them  just keep an eye out for the king   ,34,positive
7808,Aang,  i dont know what he looks like ,34,positive
7809,Sokka,you know  royal  flowing robe  fancy jewelry   ,34,positive
7811,Aang,that could be anyone ,34,positive
7813,Toph,  another crab puff  please   ,34,positive
7814,Aang,  you found us ,34,positive
7815,Toph,  id know your little footsteps anywhere  twinkle toes ,34,positive
7817,Sokka,  thanks for letting us in ,34,positive
7818,Katara,  sorry  but the guy who escorted us in wont let us out of his sight ,34,positive
7820,Sokka,  what guy ,34,positive
7824,Sokka,not until we see the king ,34,positive
7828,Aang,sorry  no  dont shout ,34,positive
7832,Sokka,  you keep their attention while i look for the king ,34,positive
7833,Aang,  watch this  everybody ,34,positive
7838,Iroh,  this poor boy is confused  were just simple refugees ,34,positive
7841,Iroh,  oh  ho  ho  thats very sweet ,34,positive
7847,Sokka,aang  the earth king ,34,positive
7849,Aang,greetings  your majesty ,34,positive
7851,Sokka,hey  let me go ,34,positive
7855,Sokka,why wont you let us talk to the king  we have information that could defeat the fire nation ,34,positive
7857,Aang,this could be the most important thing hes ever heard ,34,positive
7860,Katara,  so the king is just a figurehead ,34,positive
7861,Toph,  hes your puppet ,34,positive
7863,Sokka,  but we found out about a solar eclipse that will leave the fire nation defenseless  you could lead an invasion    ,34,positive
7878,Katara,you cant keep the truth from all these people  they have to know ,34,positive
7879,Aang,  ill tell them  ill make sure everyone knows ,34,positive
7883,Katara,  what happened to joo dee ,34,positive
7888,Katara,toph  arent you gonna get ready for the day ,35,positive
7890,Toph,im ready ,35,positive
7891,Katara,youre not gonna wash up  youve got a little dirt on your     everywhere  actually ,35,positive
7892,Toph,you call it dirt  i call it a healthy coating of earth ,35,positive
7893,Katara,hmm       you know what we need  a girls day out ,35,positive
7894,Toph,do i have to  ,35,positive
7895,Katara,itll be fun ,35,positive
7897,Toph,the fancy lady day spa    sounds like my kinda place ,35,positive
7898,Katara,are you ready for some serious pampering ,35,positive
7899,Toph,sure  katara  whatever you say  as long as they dont touch my feet ,35,positive
7901,Toph,well  that wasnt so bad  im not usually into that stuff but i actually feel     girly ,35,positive
7902,Katara,im glad  its about time we did something fun together ,35,positive
7905,Toph,thanks ,35,positive
7908,Katara,dont listen to them  lets just keep walking ,35,positive
7912,Katara,  lets go  toph ,35,positive
7913,Toph,  no  no  that was a good one  like your poodle monkey    you know what else is a good one   ,35,positive
7914,Katara,now that was funny ,35,positive
7916,Katara,those girls dont know what theyre talking about ,35,positive
7917,Toph,its okay  one of the good things about being blind  is i dont have to waste my time worrying about appearance    i dont care what i look like  im not looking for anyones approval  i know who i am   ,35,positive
7918,Katara,thats what i really admire about you  toph  youre so strong  and confident  and self assured    and i know it doesnt matter  but       youre really pretty ,35,positive
7919,Toph,  i am ,35,positive
7920,Katara,yeah  you are ,35,positive
7922,Toph,id return the compliment  but ive no idea how you look like    thank you  katara   ,35,positive
7923,Katara,ow ,35,positive
7926,Iroh,no  its not a romantic picnic  but it is a special occasion    the moon flower likes partial shade   ,35,positive
7929,Iroh,  leaves from the vine  falling so slow  like fragile  tiny shells  drifting in the foam  little soldier boy  come marching home  brave soldier boy  comes marching home ,35,positive
7932,Iroh,it is usually best to admit mistakes when they occur  and seek to restore honor ,35,positive
7935,Iroh,but not this time  run ,35,positive
7939,Iroh,  what are you doing ,35,positive
7941,Iroh,  with that stance ,35,positive
7943,Iroh,  with a poor stance  you are unbalanced  and you can be easily knocked over   ,35,positive
7944,Iroh,  with a solid stance  you are a much more serious threat    much better  but to tell you the truth  you do not look like the criminal type ,35,positive
7948,Iroh,of course ,35,positive
7951,Iroh,  while it is always best to believe in oneself  a little help from others can be a great blessing ,35,positive
7953,Iroh,happy birthday  my son    if only i could have helped you    leaves from the vine  falling so slow  like fragile  tiny shells  drifting in the foam  little soldier boy  come marching home  brave soldier boy  comes marching home ,35,positive
7956,Aang,  hey there  fellow  you look hungry ,35,positive
7959,Aang,  what kinda animal is that   ,35,positive
7961,Aang,  lets do it ,35,positive
7963,Aang,theres a big open space right outside the walls of the city ,35,positive
7965,Aang,dont worry  im great with animals ,35,positive
7969,Aang,  this was so much easier in my head ,35,positive
7977,Aang,well  mr  zookeeper  how do you like your new facilities ,35,positive
7987,Sokka,whats this ,35,positive
7990,Sokka,  ahh  poetry ,35,positive
7992,Sokka,  i am so sorry  something struck me in the rear  i just     wound up     here ,35,positive
7995,Sokka,  they call me sokka  that is in the water tribe    i am not an oaf   ,35,positive
7998,Sokka,you think youre so smart  with your fancy little words  this is not so hard ,35,positive
8002,Sokka,i calls it easy  like i paddle my canoe  ill paddle yours too   ,35,positive
8004,Sokka,  squish  squash  sling that slang  im always right back at ya  like my       boomerang   ,35,positive
8006,Sokka,  thats right  im sokka  its pronounced with an  okka   young ladies  i rocked ya ,35,positive
8010,Sokka,poetry    ,35,positive
8012,Zuko,uncle  we have a problem    one of the customers is on to us  dont look now but there is a girl over there at the corner table    she knows were fire nation    didnt i say dont look  ,35,positive
8013,Iroh,  youre right  zuko  ive seen that girl in here quite a lot  seems to me she has quite a little crush on you ,35,positive
8014,Zuko,  what ,35,positive
8016,Zuko,  my names lee  my uncle and i just moved here ,35,positive
8018,Iroh,  hed love to ,35,positive
8022,Zuko,  it took my uncle ten minutes to do my hair ,35,positive
8025,Zuko,its okay ,35,positive
8027,Zuko,nothing ,35,positive
8029,Zuko,  she is not my girlfriend ,35,positive
8031,Zuko,you have     quite an appetite for a girl   ,35,positive
8033,Zuko,umm     well  weve been traveling around for a long time ,35,positive
8035,Zuko,we were     uh  part of this traveling circus ,35,positive
8037,Zuko,  yes  i juggled ,35,positive
8040,Zuko,i havent practiced for a while   ,35,positive
8047,Zuko,close your eyes  and dont peek ,35,positive
8049,Zuko,okay  now you can look ,35,positive
8052,Zuko,ive brought you something    its a coupon for a free cup of tea ,35,positive
8054,Zuko,  dont thank me   it was my uncles idea  he thinks youre our most valuable customer ,35,positive
8058,Zuko,  its complicated  i have to go   ,35,positive
8060,Iroh,how was your night  prince zuko ,35,positive
8062,Zuko,it was nice ,35,positive
8065,Toph,no  stop sinking ,36,positive
8067,Toph,dont make me put this down   ,36,positive
8070,Toph,  im sorry  appa   ,36,positive
8085,Aang,appa  appa   ,36,positive
8093,Aang,appa    no    no   ,36,positive
8125,Aang,i guess this means well always be together   ,36,positive
8127,Aang,always ,36,positive
8131,Zuko,  uncle  what are you looking at  is there something out there ,36,positive
8132,Iroh,  uh  its nothing  go back to sleep   ,36,positive
8141,Azula,  my  my  youre easy to find  its really astounding my brother hasnt captured you yet ,36,positive
8144,Azula,who are you  the avatars fan girls ,36,positive
8148,Azula,no avatar  huh  well  thats okay  any friend of the avatar   is an enemy of mine   ,36,positive
8155,Azula,afraid of fire  i see  thats good  you should be ,36,positive
8160,Azula,  dont you know fans just make flames stronger ,36,positive
8171,Katara,  we found a printer to make our posters   ,37,positive
8172,Sokka,hey  i thought designing the lost appa poster was my job  ive been working all day on my appa   ,37,positive
8173,Aang,sokka  the arrow is on appas head ,37,positive
8174,Sokka,  this is his head   ,37,positive
8175,Katara,  why are feet coming out of it ,37,positive
8176,Sokka,  those are his horns    i havent seen him in a while  okay ,37,positive
8177,Toph,  it looks just like him to me ,37,positive
8178,Sokka,thank you  i worked really    why do you feel the need to do that ,37,positive
8179,Katara,lets just stick with the professional version ,37,positive
8181,Aang,  come on  lets get busy   ,37,positive
8184,Iroh,good tea is its own reward ,37,positive
8186,Iroh,  my own tea shop  this is a dream come true ,37,positive
8191,Iroh,i even get to name the shop ,37,positive
8195,Iroh,did you hear  nephew  this man wants to give us our own tea shop in the upper ring of the city ,37,positive
8197,Zuko,  ill try to contain my joy   ,37,positive
8199,Aang,i just finished dropping all the leaflets  has anyone come in with news about appa ,37,positive
8200,Katara,its only been a day  just be patient   ,37,positive
8202,Aang,wow  youre right  patience really pays off    joo dee ,37,positive
8204,Sokka,  what happened to you  did the dai li throw you in jail ,37,positive
8206,Toph,but you disappeared at the earth kings party ,37,positive
8208,Katara,but then they replaced you with some other woman who also said her name was joo dee ,37,positive
8210,Aang,why are you here ,37,positive
8212,Sokka,we cant wait around to get permission for everything ,37,positive
8214,Aang,  we dont care about the rules and were not asking permission    were finding appa on our own and you should just stay out of our way   ,37,positive
8215,Sokka,that might come back to bite us in the blubber ,37,positive
8216,Aang,  i dont care  from now on  we do whatever it takes to find appa ,37,positive
8217,Toph,yeah  lets break some rules   ,37,positive
8227,Iroh,so  i was thinking about names for my new tea shop  how about the jasmine dragon  its dramatic  poetic  has a nice ring to it ,37,positive
8228,Zuko,  the avatar is here in ba sing se and hes lost his bison ,37,positive
8229,Iroh,  we have a chance for a new life here    if you start stirring up trouble  we could lose all the good things that are happening for us ,37,positive
8230,Zuko,  good things that are happening for you  have you ever thought that i want more from life than a nice apartment and a job serving tea ,37,positive
8231,Iroh,there is nothing wrong with a life of peace and prosperity  i suggest you think about what it is that you want from your life and why ,37,positive
8232,Zuko,i want my destiny ,37,positive
8233,Iroh,what that means is up to you    the tea weevil  no  thats stupid ,37,positive
8235,Sokka,well split up to cover more area  toph  i guess you should just come with me ,37,positive
8236,Toph,  why  because you think i cant put up posters on my own     its upside down  isnt it  ill just go with sokka ,37,positive
8242,Katara,  tell it to some other girl  jet   ,37,positive
8245,Sokka,katara  what is it ,37,positive
8246,Katara,jets back    we cant trust anything jet says ,37,positive
8247,Sokka,but we dont even know why hes here ,37,positive
8248,Katara,i dont care why hes here  whatever the reason is  it cant be good ,37,positive
8250,Aang,  katara  we have to give him a chance ,37,positive
8252,Katara,youre lying ,37,positive
8253,Toph,  hes not lying ,37,positive
8254,Sokka,how can you tell ,37,positive
8255,Toph,i can feel his breathing and heartbeat  when people lie  theres a physical reaction  hes telling the truth ,37,positive
8256,Aang,katara  we dont have any leads  if jet says he can take us to appa  we have to check it out ,37,positive
8257,Katara,all right    but were not letting you out of our sight ,37,positive
8260,Aang,theres nothing here ,37,positive
8261,Katara,  if this is a trap ,37,positive
8263,Toph,he was here   ,37,positive
8264,Aang,  we missed him   ,37,positive
8266,Aang,  what island  wheres appa ,37,positive
8268,Aang,weve got to get to whaletail island    wheres whaletail island   ,37,positive
8269,Sokka,  far  very far    here it is  its near the south pole  almost all the way back home ,37,positive
8270,Katara,aang  it will take us weeks just to get to the tip of the earth kingdom  and then well need to find a boat to get to the island ,37,positive
8271,Aang,i dont care  we have a chance to find appa  we have to try ,37,positive
8273,Katara,dont you have some more hair to clean up ,37,positive
8275,Katara,youre right aang  right now our first concern has to be finding appa  we can come back when we have him ,37,positive
8276,Sokka,all right  lets get moving ,37,positive
8278,Katara,we dont need your help ,37,positive
8280,Katara,gee  i wonder ,37,positive
8281,Toph,  was this guy your boyfriend or something ,37,positive
8282,Katara,what     no   ,37,positive
8283,Toph,  i can tell youre lying      ,37,positive
8285,Sokka,we can take the train out to the wall but then well have to walk ,37,positive
8286,Aang,dont worry  on the way back well be flying ,37,positive
8287,Toph,were finally leaving ba sing se    worst     city     ever ,37,positive
8290,Katara,  i thought you said you didnt have your  gang  anymore ,37,positive
8293,Katara,  the dai li  ,37,positive
8297,Toph,  this doesnt make any sense  theyre both telling the truth ,37,positive
8298,Katara,thats impossible ,37,positive
8299,Sokka,no its not  toph cant tell whos lying because they both think theyre telling the truth  jets been brainwashed ,37,positive
8302,Zuko,out of my way  skinny ,37,positive
8306,Zuko,if you dont want to end up like him  youll do what i say ,37,positive
8308,Katara,the dai li must have sent jet to mislead us  and that janitor was part of their plot  too ,37,positive
8309,Aang,i bet they have appa here in the city  maybe hes in the same place they took jet  where did they take you ,37,positive
8311,Aang,we need to find a way to jog his real memories ,37,positive
8312,Sokka,  maybe katara should kiss him  that should bring something back ,37,positive
8313,Katara,maybe you should kiss him  sokka ,37,positive
8314,Sokka,hey  just an idea ,37,positive
8315,Aang,  a bad one ,37,positive
8316,Sokka,ooh  wait  ive got it ,37,positive
8319,Toph,try to think of something from your past that triggers your emotions ,37,positive
8321,Katara,close your eyes  picture it ,37,positive
8324,Katara,maybe this will help   ,37,positive
8327,Sokka,wait  remember what joo dee said  she said she went on vacation to lake laogai ,37,positive
8330,Sokka,so wheres this secret headquarters ,37,positive
8332,Toph,theres a tunnel right there by the shore ,37,positive
8342,Zuko,expecting someone else ,37,positive
8344,Sokka,now thats something different ,37,positive
8347,Aang,  long feng is escaping ,37,positive
8350,Aang,you do have appa  tell me where he is ,37,positive
8354,Aang,  youre definitely not ,37,positive
8358,Zuko,youre mine now ,37,positive
8360,Zuko,uncle ,37,positive
8361,Iroh,so  the blue spirit  i wonder who could be behind that mask    ,37,positive
8362,Zuko,  what are you doing here ,37,positive
8363,Iroh,i was just about to ask you the same thing  what do you plan to do now that youve found the avatars bison  keep him locked in our new apartment  should i go put on a pot of tea for him ,37,positive
8364,Zuko,first i have to get it out of here ,37,positive
8365,Iroh,  and then what   you never think these things through    this is exactly what happened when you captured the avatar at the north pole  you had him  and then you had nowhere to go ,37,positive
8366,Zuko,i would have figured something out ,37,positive
8367,Iroh,no  if his friends hadnt found you  you would have frozen to death ,37,positive
8368,Zuko,i know my own destiny  uncle ,37,positive
8369,Iroh,is it your own destiny  or is it a destiny someone else has tried to force on you ,37,positive
8370,Zuko,stop it  uncle  i have to do this ,37,positive
